date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,5.4,2.8,7.2,3.8,0,231,9.4,,1014.3,
2023-01-02,3.8,0,6.7,0,0,33,9.1,,1017.1,
2023-01-03,6.4,4.4,9.4,28.4,0,36,9.2,,1004.3,
2023-01-04,2.6,0.6,7.8,0.3,0,235,14.6,,1007.3,
2023-01-05,0.4,-0.6,1.1,0.8,0,245,16.2,,1012.7,
2023-01-06,-1.8,-3.9,0.6,0,0,275,11.7,,1022,
2023-01-07,-0.8,-2.8,0.6,0,0,359,10.2,,1029.1,
2023-01-08,-0.8,-3.3,1.7,0,0,249,10.7,,1025.1,
2023-01-09,1.5,-3.9,6.7,0,0,216,16.1,,1019.9,
2023-01-10,5.4,2.2,9.4,0,0,192,9.8,,1012.2,
2023-01-11,7.5,3.3,11.7,0,0,175,9.8,,1009.6,
2023-01-12,3.3,1.7,7.2,0,0,1,24.6,,1014.7,
2023-01-13,-0.8,-2.8,1.7,0,0,343,26.2,,1024.3,
2023-01-14,-2.7,-4.4,-0.6,0,0,238,11.4,,1026,
2023-01-15,1.4,-3.3,6.1,0,0,167,19.2,,1019.1,
2023-01-16,6.8,4.4,11.1,4.3,0,175,22.2,,1004.9,
2023-01-17,4.8,2.8,10,0,0,260,27,,1003.8,
2023-01-18,3,2.2,3.9,8.9,0,30,17.7,,1013.8,
2023-01-19,3.4,1.1,5.6,4.3,0,230,17.4,,1001.5,
2023-01-20,0.3,-1.1,1.7,0,0,292,19.7,,1018.6,
2023-01-21,-1.1,-2.2,0,0,0,221,13.9,,1022.1,
2023-01-22,-0.3,-1.7,1.1,0.8,0,344,9.5,,1013.6,
2023-01-23,-2.6,-5.6,0,0,0,268,20.9,,1019.4,
2023-01-24,-0.1,-2.2,2.8,0,0,230,13.4,,1022.4,
2023-01-25,0.5,-0.6,1.7,7.1,25,9,12.8,,1009.4,
2023-01-26,-4.3,-9.4,0,1,25,262,20.3,,1014.6,
2023-01-27,-4.2,-10,2.8,0.8,25,224,25.7,,1013,
2023-01-28,-3.8,-6.7,-0.6,1.5,51,15,13.3,,1021.3,
2023-01-29,-3.7,-7.8,-0.6,1,51,347,16.5,,1023.6,
2023-01-30,-10.9,-14.4,-7.2,0,25,326,16.6,,1030.7,
2023-01-31,-13.6,-16.1,-10,0,25,275,11.3,,1031.9,
2023-02-01,-7.8,-14.4,-2.2,0,25,222,15.6,,1028.2,
2023-02-02,-4.3,-11.1,1.1,0,25,270,23.2,,1022.9,
2023-02-03,-13.3,-17.2,-11.1,0,25,318,15.4,,1036.3,
2023-02-04,-1.6,-11.1,6.1,0,25,199,23.4,,1021,
2023-02-05,2.8,-1.7,6.1,0,0,265,18.8,,1014.9,
2023-02-06,2.1,-5,8.3,0,0,153,16.5,,1019.7,
2023-02-07,4.3,-1.1,10,0,0,254,22.6,,1016.2,
2023-02-08,1.7,-3.9,6.1,0,0,57,6,,1023.1,
2023-02-09,3.9,2.2,8.3,29.7,0,342,21.1,,1006.9,
2023-02-10,1.1,-3.3,4.4,0,0,296,17,,1025.8,
2023-02-11,1.4,-5,8.3,0,0,224,13.8,,1027.3,
2023-02-12,5,-2.2,11.1,0,0,233,13.7,,1015.6,
2023-02-13,6.1,1.1,11.7,0,0,262,15.6,,1010.8,
2023-02-14,8.4,2.2,12.2,3.6,0,167,22.9,,1005.6,
2023-02-15,6.2,2.2,11.7,4.6,0,256,29.3,,1007.8,
2023-02-16,0.5,-3.9,2.2,10.7,25,25,27.7,,1013.5,
2023-02-17,-4.8,-7.2,-2.8,0,0,296,20.1,,1025.2,
2023-02-18,2.3,-4.4,7.8,0,0,215,20.9,,1022.5,
2023-02-19,6.7,3.9,11.7,0,0,238,23.3,,1011.1,
2023-02-20,3.7,-1.1,7.8,0,0,62,11.2,,1007.6,
2023-02-21,0.8,-3.9,5,0,0,303,20,,1008.4,
2023-02-22,1.4,1.1,2.2,25.9,0,69,24.6,,1005.4,
2023-02-23,1,-5,6.1,0,0,261,24.4,,1015.4,
2023-02-24,-4.2,-7.8,-2.2,1.3,25,26,13.6,,1036.4,
2023-02-25,-0.1,-2.8,3.3,0,0,238,15.6,,1023.8,
2023-02-26,3.1,-2.2,10,0,0,196,12.4,,1015.4,
2023-02-27,8,3.9,15,23.6,0,215,26.9,,994.3,
2023-02-28,5.7,2.8,10.6,0.5,0,15,13,,1010.3,
2023-03-01,7.9,2.8,13.9,1.8,0,257,15.9,,1007.8,
2023-03-02,2.2,1.1,3.9,0,0,34,17,,1014.5,
2023-03-03,2.2,0,3.9,0.8,0,43,24.1,,1004,
2023-03-04,3.6,-2.2,10,0.3,0,248,11.6,,1014.8,
