date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,6.4,3.9,9.4,0,,231,9.8,,1015.3,
2023-01-02,6.6,3.9,10,0,,16,8,,1018.1,
2023-01-03,13.7,7.2,17.2,15.9,,162,15.3,,1007.5,
2023-01-04,12.5,4.4,15.6,26.3,,192,19,,1006.3,
2023-01-05,5.8,2.8,9.4,1.1,,208,21.2,,1013.3,
2023-01-06,2.4,1.7,3.3,0.3,,252,20.5,,1019.3,
2023-01-07,1.3,0.6,1.7,0.8,,277,16.4,,1026.4,
2023-01-08,0.8,0.6,1.7,0,,343,8,,1024.1,
2023-01-09,1.4,0,3.3,0,,234,21.4,,1019.6,
2023-01-10,3.3,1.1,6.7,0,,159,14.7,,1016.6,
2023-01-11,6.5,2.8,10.6,0.5,,145,17.1,,1013.9,
2023-01-12,6.1,2.8,9.4,17.2,,32,18.3,,1007.9,
2023-01-13,0.8,-0.6,3.3,6.2,,337,36.8,,1014.3,
2023-01-14,-1.4,-2.2,-0.6,0,,325,24.2,,1022.8,
2023-01-15,-1.6,-5,0.6,0,,67,8.6,,1025.4,
2023-01-16,3.7,-1.7,8.9,3.8,,137,15.6,,1015.4,
2023-01-17,7.7,4.4,13.3,3.9,,208,27.6,,1002.7,
2023-01-18,4.5,3.9,5.6,0,,250,17,,1014.6,
2023-01-19,7.2,4.4,13.3,26.5,,137,20.4,,1003.2,
2023-01-20,3.1,2.2,4.4,2.6,,249,30.2,,1012.6,
2023-01-21,1.8,1.1,2.2,0,,225,15.8,,1022.3,
2023-01-22,0.9,0,1.7,7,,67,9.3,,1012.7,
2023-01-23,0.7,-0.6,1.1,1.7,,288,26.6,,1014.4,
2023-01-24,1,-0.6,2.2,0,,220,18,,1022.5,
2023-01-25,3.1,1.7,6.7,10,,143,18.2,,1006.7,
2023-01-26,0.8,-1.1,1.7,3.9,,256,29.9,,1009.4,
2023-01-27,-0.5,-2.8,3.3,0.3,,198,26.9,,1015.8,
2023-01-28,2.1,0.6,5,0,,251,17.7,,1021.2,
2023-01-29,4.4,-0.6,8.9,4.8,,199,22.6,,1019.4,
2023-01-30,-0.8,-2.2,0.6,3.4,,355,15.5,,1023.5,
2023-01-31,-6.5,-7.8,-4.4,0,,306,14.9,,1028,
2023-02-01,-5.4,-8.3,-3.3,0,,233,16.6,,1027.9,
2023-02-02,-0.4,-3.9,5,0.3,,222,26.6,,1019.3,
2023-02-03,-7.9,-8.9,-3.9,0.1,,305,31,,1029.6,
2023-02-04,-3.1,-9.4,3.9,0,,177,22.2,,1026.9,
2023-02-05,7,3.3,8.9,0,,209,24.2,,1014.3,
2023-02-06,0.9,0,3.3,0,,5,16.2,,1023.4,
2023-02-07,6,1.1,14.4,0,,193,26.1,,1017.4,
2023-02-08,3,1.7,6.7,0,,329,9.9,,1024.6,
2023-02-09,11.3,6.1,20,16.3,,177,26,,1008.3,
2023-02-10,3.4,0.6,5.6,0,,255,26.1,,1019.6,
2023-02-11,0.6,-0.6,2.8,0,,314,10.8,,1027.4,
2023-02-12,2.2,-1.1,4.4,0,,199,7.8,,1016.4,
2023-02-13,5.5,2.2,9.4,0,,234,21.5,,1008.1,
2023-02-14,7.6,0.6,12.8,0,,162,18.9,,1014.4,
2023-02-15,14.4,5,20,0.2,,209,33.8,,1008,
2023-02-16,4.7,3.3,7.2,1.6,,25,10.5,,1011.6,
2023-02-17,-1.4,-3.9,2.2,7.1,,295,28.7,,1017.4,
2023-02-18,2,-4.4,8.3,0,,195,26.1,,1026,
2023-02-19,8.7,3.9,13.3,0,,185,24.7,,1014.5,
2023-02-20,5.1,2.8,10.6,0,,308,13.7,,1007.4,
2023-02-21,3.7,1.1,7.8,0,,254,21.5,,1005.8,
2023-02-22,1.9,1.1,2.8,26.1,,67,16.2,,1009.5,
2023-02-23,4.4,1.1,8.3,0.5,,343,13.4,,1011.1,
2023-02-24,-1.2,-3.9,2.2,0,,326,25.8,,1033.1,
2023-02-25,-0.8,-4.4,4.4,1,,105,8.9,,1024.5,
2023-02-26,3.1,0.6,5.6,0,,243,16.3,,1015,
2023-02-27,4.7,1.1,10.6,15.9,,137,18.8,,1001.5,
2023-02-28,3.7,2.8,4.4,1.1,,256,17.7,,1008.6,
2023-03-01,6,2.8,13.3,1.6,,85,13.7,,1008.9,
2023-03-02,3.6,2.2,6.1,0,,274,15.1,,1011.4,
2023-03-03,4.6,2.2,9.4,27,,79,16.6,,1002.4,
2023-03-04,3.9,2.2,9.4,0.8,,303,22.1,,1009.8,
2023-03-05,5.1,3.3,6.7,0,,272,13.1,,1023.5,
2023-03-06,5.1,2.8,12.2,6.4,,111,15.3,,1017.6,
2023-03-07,2.1,1.1,3.3,0.5,,358,26.7,,1025.2,
2023-03-08,1.7,0.6,2.8,0,,356,22.5,,1032.1,
2023-03-09,1.9,0.6,2.8,0,,35,15.1,,1027.1,
2023-03-10,1.7,0.6,2.8,6.5,,14,22.4,,1011.7,
2023-03-11,0.5,0,1.1,0,,1,18.8,,1017.8,
2023-03-12,,,,,,,,,,
2023-03-13,0.7,-1.1,1.7,4.6,,305,17.5,,1013.3,
2023-03-14,-1.6,-2.8,0.6,0.1,,316,31.5,,1020.8,
2023-03-15,1.6,-0.6,4.4,0,,303,14.7,,1024.5,
2023-03-16,9.4,3.9,15,0.7,,180,20.9,,1014.8,
2023-03-17,7.9,2.8,13.9,5.7,,219,29.8,,1002.2,
2023-03-18,-1.4,-5,1.7,1.1,,235,34.3,,1012.3,
2023-03-19,-2.2,-5.6,2.2,3,,240,32.7,,1022,
2023-03-20,4.4,-1.1,10,0,,205,24.9,,1023.4,
2023-03-21,8.8,3.3,13.9,0,,197,15.2,,1025.1,
2023-03-22,9.9,5,12.2,4.7,,184,23.2,,1020.5,
2023-03-23,8.5,3.9,14.4,19.6,,148,16.2,,1012.6,
2023-03-24,3.2,2.8,3.9,0,,31,21.4,,1016.6,
2023-03-25,8.9,3.9,16.7,10.7,,194,35,,1000.8,
2023-03-26,7,3.3,10,0,,236,16.9,,1015.2,
2023-03-27,6.6,3.9,10.6,5.8,,2,12.6,,1015.4,
2023-03-28,3.6,1.7,4.4,0,,299,10.1,,1023.3,
2023-03-29,5.3,2.2,11.1,1.6,,245,24.3,,1021.4,
2023-03-30,2.6,-1.1,8.3,0,,56,13.1,,1026.6,
2023-03-31,10.8,6.7,15,7.7,,160,28.6,,1011.1,
2023-04-01,10.3,2.8,17.2,10.2,,229,33.5,,1000.4,
2023-04-02,3.5,1.7,7.2,0,,13,16,,1018.8,
2023-04-03,10.4,5,16.1,0.5,,130,17.2,,1011.6,
2023-04-04,9,6.7,12.2,0,,45,13.2,,1013.1,
2023-04-05,21,11.1,26.1,10.7,,178,27.9,,1010.5,
2023-04-06,8.5,6.7,17.8,0,,262,20,,1024.2,
2023-04-07,4.9,3.3,7.2,0,,357,16.9,,1033.3,
2023-04-08,4.5,1.1,6.7,0,,66,15.4,,1032.6,
2023-04-09,7.2,3.9,9.4,0,,17,8.6,,1032.4,
2023-04-10,8.9,4.4,12.2,0,,36,8.1,,1029.3,
2023-04-11,14.7,9.4,18.9,0,,217,17.1,,1022.3,
2023-04-12,19.2,15.6,23.9,0,,235,23.4,,1015.1,
2023-04-13,20.2,16.7,22.8,0,,258,12.7,,1012.9,
2023-04-14,17.4,14.4,20.6,0,,62,10.3,,1010.5,
2023-04-15,18.9,14.4,23.3,0,,351,7.7,,1009.4,
2023-04-16,18.9,10,26.7,8.7,,185,21.7,,1005.2,
2023-04-17,6.1,4.4,8.9,1.5,,223,30.9,,1003.7,
2023-04-18,5.2,2.8,8.3,3.2,,252,26.9,,1010.3,
2023-04-19,7,5,9.4,0,,9,18.4,,1019.2,
2023-04-20,12.4,7.8,25.6,0,,40,12.7,,1016.3,
2023-04-21,15.5,8.3,24.4,10.2,,248,14.2,,1012.7,
2023-04-22,9,7.8,12.2,22.5,,296,15.8,,1009,
2023-04-23,6.7,3.9,8.9,0.5,,241,21.2,,1016.2,
2023-04-24,5.8,3.9,7.8,2.6,,266,17,,1020.8,
2023-04-25,6.3,2.8,10,1.9,,316,13.4,,1022,
2023-04-26,7.3,6.1,8.9,0,,19,12.8,,1022.7,
2023-04-27,8.4,3.9,11.1,0,,50,14.6,,1019.6,
2023-04-28,13.9,8.9,15.6,5.9,,116,23.4,,1008.3,
2023-04-29,14.1,11.7,17.2,0.6,,183,19.8,,1003.8,
2023-04-30,10.5,7.2,13.9,7.7,,241,14.7,,996.4,
2023-05-01,6.6,3.9,8.9,7.4,,231,27.1,,991.5,
2023-05-02,5.7,3.9,7.2,20.6,,262,35.5,,995.9,
2023-05-03,7.5,5,10,5.8,,305,29.8,,1004.3,
2023-05-04,10.7,9.4,13.3,0,,298,12.6,,1015.1,
2023-05-05,12.3,7.8,16.1,0,,91,16.4,,1022.3,
2023-05-06,12.8,9.4,14.4,0,,33,10.3,,1023,
2023-05-07,18.5,13.3,23.9,0,,74,9.5,,1013.2,
2023-05-08,12.3,10.6,13.9,0,,352,9.8,,1014.3,
2023-05-09,12.4,11.1,14.4,0.2,,23,14.2,,1018.1,
2023-05-10,13.3,8.3,16.7,0,,19,5.8,,1022.6,
2023-05-11,17.3,11.7,21.1,0,,95,10,,1020.5,
2023-05-12,18.8,16.1,25.6,0,,86,14,,1018.3,
2023-05-13,16.5,14.4,21.1,1.3,,23,6.2,,1019.4,
2023-05-14,13.2,11.1,15,0,,38,19.6,,1026.4,
2023-05-15,12.8,10,15.6,0,,27,9.5,,1024.6,
2023-05-16,15.1,10.6,19.3,0,,233,12.6,,1010,
2023-05-17,10.3,8.3,13.3,0,,20,21.1,,1015.6,
2023-05-18,10.2,6.1,12.8,0,,43,12.6,,1020.3,
2023-05-19,19.6,11.7,26.1,1.8,,178,17.1,,1015.5,
2023-05-20,14.4,12.8,17.2,30.4,,295,11.9,,1015.9,
2023-05-21,15.7,11.7,19.4,0,,280,11,,1019.4,
2023-05-22,15.6,13.3,18.3,0,,45,12.6,,1021.3,
2023-05-23,17.5,13.9,21.7,0,,69,11.2,,1020.9,
2023-05-24,17.7,13.9,21.1,0,,12,14,,1019.9,
2023-05-25,11.7,9.4,12.8,0,,41,24.9,,1024.6,
2023-05-26,12.9,8.3,16.1,0,,30,14.9,,1026.3,
2023-05-27,15,11.1,17.2,0,,29,9.5,,1025.2,
