date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-01-01,3.7,2,6.5,2.2,,214,11.8,,1015.4,
2023-01-02,4.1,0.4,8.3,0,,39,7.4,,1019.3,
2023-01-03,4,2.7,5.3,9.2,,50,13.4,,1009.3,
2023-01-04,8.5,3.7,13.7,0.2,,191,13.5,,1006,
2023-01-05,2.8,0.9,4.5,0.7,,221,18.8,,1013.1,
2023-01-06,1.4,0.3,2.8,0.5,,245,15.8,,1019.4,
2023-01-07,0,-1.6,0.9,0.7,,304,10.8,,1027.5,
2023-01-08,-1.1,-2.8,0.2,0,,279,6.9,,1025.6,
2023-01-09,-0.7,-4.3,2.8,0,,241,18.2,,1019.8,
2023-01-10,0.1,-3.3,4.2,0,,107,8.4,,1017.5,
2023-01-11,2.4,-1.7,5.9,0,,106,11.7,,1014.9,
2023-01-12,4.1,0.9,6,0.4,,343,18.8,,1010.4,
2023-01-13,-1.5,-4,0.9,0,,342,28.5,,1018,
2023-01-14,-4.3,-7.4,-1.2,0,,320,12.7,,1025.3,
2023-01-15,-4.2,-8.5,0.8,0,,156,8.5,,1026.4,
2023-01-16,-0.1,-5.6,3.6,11,,134,13.9,,1015.9,
2023-01-17,5.2,1.9,9.2,1.1,,219,23.8,,1002.2,
2023-01-18,4.2,2.7,5.9,0,,279,18,,1014.3,
2023-01-19,4.4,2,8.2,26.7,,139,20.6,,1003.7,
2023-01-20,2.7,1,3.9,0.4,,278,22.6,,1012.7,
2023-01-21,0.4,-0.2,1,0,,249,13.2,,1022.8,
2023-01-22,-0.6,-1.2,-0.2,3.6,,75,6.7,,1014.3,
2023-01-23,-0.7,-2.5,0.8,0,,286,20.1,,1015.5,
2023-01-24,0,-2.2,3.2,0,,234,18.5,,1022.2,
2023-01-25,0,-0.4,0.2,13.1,,66,17.2,,1008.9,
2023-01-26,-0.7,-3.3,0.3,0,,262,19.8,,1009.8,
2023-01-27,-3.3,-6.7,1.8,0,,217,30.5,,1014.7,
